Size;Random Time;Random Trans Rate;Round Robin Time;Round Robin Rate;Round Robin Weight Time;Round Robin Weight Rate
500;181.719;2752.61;92.261 ;5421.60;258.549;1934.65
1000;345.874;2891.81;179.354;5576.69;515.173;1941.49
1500;390.620;3840.57;264.074;5681.00;771.829;1943.70
2000;578.229;3459.19;348.434;5740.55;1028.99;1943.85
2500;799.468;3127.33;436.697;5725.26;1286.21;1943.84
3000;1031.61;2908.25;522.044;5747.03;1543.94;1943.21
3500;907.291;3857.86;610.204;5736.12;1800.65;1943.85
4000;1487.95;2688.39;693.638;5766.99;2057.12;1944.56
4500;1293.32;3479.57;779.183;5775.54;2314.22;1944.58
5000;1434.28;3486.19;864.320;5785.13;2570.74;1945.04
