Size;Random Time;Random Trans Rate;Round Robin Time;Round Robin Rate;Round Robin Weight Time;Round Robin Weight Rate
500;344.929;1450.16;175.644;2847.82;152.444;3281.22
1000;405.498;2466.61;347.042;2882.08;296.606;3372.16
1500;607.523;2469.38;516.945;2902.05;477.152;3144.08
2000;813.838;2457.74;689.011;2903.01;633.038;3159.69
2500;1150.56;2173.02;860.187;2906.58;792.284;3155.69
3000;1209.81;2479.88;1030.78;2910.60;944.307;3177.15
3500;1672.59;2092.68;1201.84;2912.35;1102.22;3175.59
4000;1948.02;2053.46;1373.58;2912.24;1259.26;3176.62
4500;2314.48;1944.36;1545.52;2911.76;1416.38;3177.24
5000;2390.70;2091.52;1715.15;2915.31;1571.90;3180.99
