Size;Random Time;Random Trans Rate;Round Robin Time;Round Robin Rate;Round Robin Weight Time;Round Robin Weight Rate
500;1015.79;;857.070;583.62 ;468.900;1066.76
1000;1429.80;699.54 ;1714.65;583.33 ;932.296;1072.84
1500;2598.57;577.32 ;2570.22;583.69 ;1396.71;1074.09
2000;3039.69;658.03 ;3428.13;583.47 ;1859.64;1075.59
2500;4999.52;500.09 ;4284.21;583.58 ;2324.04;1075.80
3000;3858.63;777.53 ;5140.40;583.65 ;2788.33;1075.98
3500;4998.46;700.26 ;5997.42;583.62 ;3252.27;1076.23
4000;4570.37;875.25 ;6854.71;583.57 ;3715.46;1076.64
4500;7710.74;583.63 ;7710.74;583.63 ;4180.46;1076.49
5000;5712.29;875.34 ;8568.24;583.57 ;4643.73;1076.76
